year	interest_rate
1980	16,79
1981	19,23
1982	19,91
1983	18,31
1984	17,27
1985	15,25
1986	13,39
1987	11,33
1988	10,82
1989	12,62
1990	12,23
1991	12,21
1992	14,01
1993	10,2
1994	8,51
1995	10,46
1996	8,82
1997	6,88
1998	4,99
1999	2,96
2000	4,39
2001	4,26
2002	3,32
