year	unemployment_rate
1980	6.96666666666667
1981	7.06666666666667
1982	7.16666666666667
1983	7.36666666666667
1984	7.83333333333333
1985	8.14166666666666
1986	8.88333333333333
1987	9.63333333333333
1988	9.7
1989	9.7
1990	8.86666666666667
1991	8.51666666666667
1992	8.79166666666666
1993	9.725
1994	10.65
1995	11.1833333333333
1996	11.1666666666667
1997	11.2166666666667
1998	11.3
1999	10.8666666666667
2000	10.05
2001	9.00833333333333
2002	8.475
